사용월,호선명,역ID,지하철역,승차승객수,하차승객수,작업일시
2022-10,1호선,0150,서울역,1526169,1490241,2022-11-03 10:23:04
2022-10,1호선,0151,시청,757962,771444,2022-11-03 10:23:04
2022-10,1호선,0152,종각,1046933,1008568,2022-11-03 10:23:04
2022-10,1호선,0153,종로3가,819355,738786,2022-11-03 10:23:04
2022-10,1호선,0154,종로5가,702414,697153,2022-11-03 10:23:04
2022-10,1호선,0155,동대문,355577,343508,2022-11-03 10:23:04
2022-10,1호선,0156,신설동,401725,387550,2022-11-03 10:23:04
2022-10,1호선,0157,제기동,522900,531443,2022-11-03 10:23:04
2022-10,1호선,0158,청량리(서울시립대입구),606848,611634,2022-11-03 10:23:04
2022-10,1호선,0159,동묘앞,310744,323734,2022-11-03 10:23:04
2022-10,2호선,0201,시청,679611,643203,2022-11-03 10:23:04
2022-10,2호선,0202,을지로입구,1221614,1236570,2022-11-03 10:23:04
2022-10,2호선,0203,을지로3가,653302,644964,2022-11-03 10:23:04
2022-10,2호선,0204,을지로4가,372250,376295,2022-11-03 10:23:04
2022-10,2호선,0205,동대문역사문화공원(DDP),418468,480528,2022-11-03 10:23:04
2022-10,2호선,0206,신당,417825,434196,2022-11-03 10:23:04
2022-10,2호선,0207,상왕십리,406855,390471,2022-11-03 10:23:04
2022-10,2호선,0208,왕십리(성동구청),491372,408322,2022-11-03 10:23:04
2022-10,2호선,0209,한양대,343195,378395,2022-11-03 10:23:04
2022-10,2호선,0210,뚝섬,636204,671128,2022-11-03 10:23:04
2022-10,2호선,0211,성수,1025847,1129819,2022-11-03 10:23:04
2022-10,2호선,0212,건대입구,1081297,1164095,2022-11-03 10:23:04
2022-10,2호선,0213,구의(광진구청),677766,659402,2022-11-03 10:23:04
2022-10,2호선,0214,강변(동서울터미널),992005,949586,2022-11-03 10:23:04
2022-10,2호선,0215,잠실나루,404982,392934,2022-11-03 10:23:04
2022-10,2호선,0216,잠실(송파구청),2409510,2364006,2022-11-03 10:23:04
2022-10,2호선,0217,잠실새내,645869,650426,2022-11-03 10:23:04
2022-10,2호선,0218,종합운동장,412978,463750,2022-11-03 10:23:04
2022-10,2호선,0219,삼성(무역센터),1466563,1475882,2022-11-03 10:23:04
2022-10,2호선,0220,선릉,1467554,1300376,2022-11-03 10:23:04
2022-10,2호선,0221,역삼,1289583,1460668,2022-11-03 10:23:04
2022-10,2호선,0222,강남,2186697,2130365,2022-11-03 10:23:04
2022-10,2호선,0223,교대(법원.검찰청),894389,1016731,2022-11-03 10:23:04
2022-10,2호선,0224,서초,606186,568465,2022-11-03 10:23:04
2022-10,2호선,0225,방배,502377,518502,2022-11-03 10:23:04
2022-10,2호선,0226,사당,1171893,1291746,2022-11-03 10:23:04
2022-10,2호선,0227,낙성대(강감찬),813937,790512,2022-11-03 10:23:04
2022-10,2호선,0228,서울대입구(관악구청),1378095,1340963,2022-11-03 10:23:04
2022-10,2호선,0229,봉천,688558,638772,2022-11-03 10:23:04
2022-10,2호선,0230,신림,1687672,1618260,2022-11-03 10:23:04
2022-10,2호선,0231,신대방,747295,722651,2022-11-03 10:23:04
2022-10,2호선,0232,구로디지털단지,1626390,1616254,2022-11-03 10:23:04
2022-10,2호선,0233,대림(구로구청),713113,730699,2022-11-03 10:23:04
2022-10,2호선,0234,신도림,1452568,1458786,2022-11-03 10:23:04
2022-10,2호선,0235,문래,592261,613698,2022-11-03 10:23:04
2022-10,2호선,0236,영등포구청,596684,618862,2022-11-03 10:23:04
2022-10,2호선,0237,당산,534099,624808,2022-11-03 10:23:04
2022-10,2호선,0238,합정,953991,1043180,2022-11-03 10:23:04
2022-10,2호선,0239,홍대입구,1991961,2145198,2022-11-03 10:23:04
2022-10,2호선,0240,신촌,1135845,1150123,2022-11-03 10:23:04
2022-10,2호선,0241,이대,473609,506542,2022-11-03 10:23:04
2022-10,2호선,0242,아현,310541,294914,2022-11-03 10:23:04
2022-10,2호선,0243,충정로(경기대입구),275317,293745,2022-11-03 10:23:04
2022-10,2호선,0244,용답,88631,88751,2022-11-03 10:23:04
2022-10,2호선,0245,신답,47898,52190,2022-11-03 10:23:04
2022-10,2호선,0246,신설동,112384,108820,2022-11-03 10:23:04
2022-10,2호선,0247,도림천,35238,37357,2022-11-03 10:23:04
2022-10,2호선,0248,양천구청,200600,204924,2022-11-03 10:23:04
2022-10,2호선,0249,신정네거리,302048,305253,2022-11-03 10:23:04
2022-10,2호선,0250,용두(동대문구청),67690,67027,2022-11-03 10:23:04
2022-10,3호선,0309,지축,166936,158953,2022-11-03 10:23:04
2022-10,3호선,0310,구파발,621173,608022,2022-11-03 10:23:04
2022-10,3호선,0311,연신내,1065562,1004984,2022-11-03 10:23:04
2022-10,3호선,0312,불광,483709,525637,2022-11-03 10:23:04
2022-10,3호선,0313,녹번,449856,402003,2022-11-03 10:23:04
2022-10,3호선,0314,홍제,529477,502383,2022-11-03 10:23:04
2022-10,3호선,0315,무악재,114403,116474,2022-11-03 10:23:04
2022-10,3호선,0316,독립문,226435,237764,2022-11-03 10:23:04
2022-10,3호선,0317,경복궁(정부서울청사),818804,867838,2022-11-03 10:23:04
2022-10,3호선,0318,안국,819095,854565,2022-11-03 10:23:04
2022-10,3호선,0319,종로3가,279287,339981,2022-11-03 10:23:04
2022-10,3호선,0320,을지로3가,300165,298266,2022-11-03 10:23:04
2022-10,3호선,0321,충무로,52,0,2022-11-03 10:23:04
2022-10,3호선,0322,동대입구,317158,361328,2022-11-03 10:23:04
2022-10,3호선,0323,약수,383060,366665,2022-11-03 10:23:04
2022-10,3호선,0324,금호,242846,225440,2022-11-03 10:23:04
2022-10,3호선,0325,옥수,271022,274159,2022-11-03 10:23:04
2022-10,3호선,0326,압구정,921523,1001250,2022-11-03 10:23:04
2022-10,3호선,0327,신사,829509,873470,2022-11-03 10:23:04
2022-10,3호선,0328,잠원,144138,138821,2022-11-03 10:23:04
2022-10,3호선,0329,고속터미널,1502815,1457119,2022-11-03 10:23:04
2022-10,3호선,0330,교대(법원.검찰청),399140,258864,2022-11-03 10:23:04
2022-10,3호선,0331,남부터미널(예술의전당),846766,862650,2022-11-03 10:23:04
2022-10,3호선,0332,양재(서초구청),1019402,1115138,2022-11-03 10:23:04
2022-10,3호선,0333,매봉,328155,316136,2022-11-03 10:23:04
2022-10,3호선,0334,도곡,140404,141320,2022-11-03 10:23:04
2022-10,3호선,0335,대치,341318,330864,2022-11-03 10:23:04
2022-10,3호선,0336,학여울,77110,79182,2022-11-03 10:23:04
2022-10,3호선,0337,대청,288257,269317,2022-11-03 10:23:04
2022-10,3호선,0338,일원,292013,281363,2022-11-03 10:23:04
2022-10,3호선,0339,수서,530917,537490,2022-11-03 10:23:04
2022-10,3호선,0340,가락시장,256152,253412,2022-11-03 10:23:04
2022-10,3호선,0341,경찰병원,200948,200478,2022-11-03 10:23:04
2022-10,3호선,0342,오금,178111,162745,2022-11-03 10:23:04
2022-10,4호선,0409,당고개,271500,245250,2022-11-03 10:23:04
2022-10,4호선,0410,상계,556438,518080,2022-11-03 10:23:04
2022-10,4호선,0411,노원,562190,637824,2022-11-03 10:23:04
2022-10,4호선,0412,창동,745619,786753,2022-11-03 10:23:04
2022-10,4호선,0413,쌍문,841222,774645,2022-11-03 10:23:04
2022-10,4호선,0414,수유(강북구청),1002878,999722,2022-11-03 10:23:04
2022-10,4호선,0415,미아(서울사이버대학),445366,427533,2022-11-03 10:23:04
2022-10,4호선,0416,미아사거리,801020,778033,2022-11-03 10:23:04
2022-10,4호선,0417,길음,633945,632806,2022-11-03 10:23:04
2022-10,4호선,0418,성신여대입구(돈암),637703,587750,2022-11-03 10:23:04
2022-10,4호선,0419,한성대입구(삼선교),434111,420502,2022-11-03 10:23:04
2022-10,4호선,0420,혜화,1089153,1097047,2022-11-03 10:23:04
2022-10,4호선,0421,동대문,570547,583018,2022-11-03 10:23:04
2022-10,4호선,0422,동대문역사문화공원(DDP),505347,442235,2022-11-03 10:23:04
2022-10,4호선,0423,충무로,767877,805247,2022-11-03 10:23:04
2022-10,4호선,0424,명동,782431,830452,2022-11-03 10:23:04
2022-10,4호선,0425,회현(남대문시장),746376,771983,2022-11-03 10:23:04
2022-10,4호선,0426,서울역,339762,603221,2022-11-03 10:23:04
2022-10,4호선,0427,숙대입구(갈월),442368,414795,2022-11-03 10:23:04
2022-10,4호선,0428,삼각지,168299,204860,2022-11-03 10:23:04
2022-10,4호선,0429,신용산,517370,540853,2022-11-03 10:23:04
2022-10,4호선,0430,이촌(국립중앙박물관),283138,317180,2022-11-03 10:23:04
2022-10,4호선,0431,동작(현충원),53695,56206,2022-11-03 10:23:04
2022-10,4호선,0432,총신대입구(이수),557571,608812,2022-11-03 10:23:04
2022-10,4호선,0433,사당,802882,697237,2022-11-03 10:23:04
2022-10,4호선,0434,남태령,40856,32553,2022-11-03 10:23:04
2022-10,경부선,1001,서울역,293838,84395,2022-11-03 10:23:04
2022-10,경부선,1002,남영,284583,295626,2022-11-03 10:23:04
2022-10,경부선,1003,용산,1267687,1277872,2022-11-03 10:23:04
2022-10,경부선,1004,노량진,293987,289480,2022-11-03 10:23:04
2022-10,경부선,1005,대방,331032,352627,2022-11-03 10:23:04
2022-10,경부선,1006,영등포,1271529,1305266,2022-11-03 10:23:04
2022-10,경부선,1007,신도림,122483,129384,2022-11-03 10:23:04
2022-10,경부선,1032,신길,271152,229884,2022-11-03 10:23:04
2022-10,경부선,1701,구로,533615,543437,2022-11-03 10:23:04
2022-10,경부선,1702,가산디지털단지,456467,542963,2022-11-03 10:23:04
2022-10,경부선,1703,금천구청,346898,344953,2022-11-03 10:23:04
2022-10,경부선,1704,석수,281295,254910,2022-11-03 10:23:04
2022-10,경부선,1705,관악,230002,216555,2022-11-03 10:23:04
2022-10,경부선,1706,안양,763633,756225,2022-11-03 10:23:04
2022-10,경부선,1707,명학,265050,258108,2022-11-03 10:23:04
2022-10,경부선,1708,금정,808527,819192,2022-11-03 10:23:04
2022-10,경부선,1709,군포,206496,198340,2022-11-03 10:23:04
2022-10,경부선,1710,의왕,264160,260665,2022-11-03 10:23:04
2022-10,경부선,1711,성균관대,453134,449300,2022-11-03 10:23:04
2022-10,경부선,1712,화서,251076,241931,2022-11-03 10:23:04
2022-10,경부선,1713,수원,1237330,1303537,2022-11-03 10:23:04
2022-10,경부선,1714,독산,494905,503193,2022-11-03 10:23:04
2022-10,경부선,1715,세류,102461,94353,2022-11-03 10:23:04
2022-10,경부선,1716,병점,492216,492596,2022-11-03 10:23:04
2022-10,경부선,1717,세마,92389,85760,2022-11-03 10:23:04
2022-10,경부선,1718,오산대,123406,114287,2022-11-03 10:23:04
2022-10,경부선,1719,오산,332777,329524,2022-11-03 10:23:04
2022-10,경부선,1720,진위,54593,48444,2022-11-03 10:23:04
2022-10,경부선,1721,송탄,152331,149150,2022-11-03 10:23:04
2022-10,경부선,1722,서정리,259665,246159,2022-11-03 10:23:04
2022-10,경부선,1723,평택지제,135272,129024,2022-11-03 10:23:04
2022-10,경부선,1724,평택,443825,447070,2022-11-03 10:23:04
2022-10,경부선,1725,성환,172785,168169,2022-11-03 10:23:04
2022-10,경부선,1726,직산,28260,28007,2022-11-03 10:23:04
2022-10,경부선,1727,두정,232339,249572,2022-11-03 10:23:04
2022-10,경부선,1728,천안,236886,230306,2022-11-03 10:23:04
2022-10,경부선,1729,당정,195722,184188,2022-11-03 10:23:04
2022-10,경부선,1749,서동탄,42379,38674,2022-11-03 10:23:04
2022-10,경부선,1750,광명,113545,95320,2022-11-03 10:23:04
2022-10,경인선,1801,개봉,639998,623595,2022-11-03 10:23:04
2022-10,경인선,1802,오류동,353909,324547,2022-11-03 10:23:04
2022-10,경인선,1803,역곡,835878,823733,2022-11-03 10:23:04
2022-10,경인선,1804,부천,993461,998208,2022-11-03 10:23:04
2022-10,경인선,1805,송내,795239,787572,2022-11-03 10:23:04
2022-10,경인선,1806,부평,901939,966287,2022-11-03 10:23:04
2022-10,경인선,1807,백운,207444,202400,2022-11-03 10:23:04
2022-10,경인선,1808,동암,484079,482313,2022-11-03 10:23:04
2022-10,경인선,1809,주안,591527,534062,2022-11-03 10:23:04
2022-10,경인선,1810,제물포,323585,307527,2022-11-03 10:23:04
2022-10,경인선,1811,동인천,430694,413774,2022-11-03 10:23:04
2022-10,경인선,1812,인천,143824,114777,2022-11-03 10:23:04
2022-10,경인선,1813,구일,227724,231204,2022-11-03 10:23:04
2022-10,경인선,1814,소사,272521,268652,2022-11-03 10:23:04
2022-10,경인선,1815,부개,257431,236856,2022-11-03 10:23:04
2022-10,경인선,1816,간석,175188,163983,2022-11-03 10:23:04
2022-10,경인선,1817,도원,102865,102568,2022-11-03 10:23:04
2022-10,경인선,1821,온수(성공회대입구),212073,197741,2022-11-03 10:23:04
2022-10,경인선,1822,중동,276540,255987,2022-11-03 10:23:04
2022-10,경인선,1823,도화,124919,113993,2022-11-03 10:23:04
